Price,ID,Eye Colour,Fur,Pattern,Eye Shape,Accent Color,Highlight Color,Mouth,Base Color,Wild Element,Likes,Cooldown,gen
0.003,1388633,coralsunrise,munchkin,amur,asif,granitegrey,butterscotch,wasntme,orangesoda,flapflap,0,Plodding Cooldown ,14
0.003,688281,sapphire,pixiebob,totesbasic,fabulous,azaleablush,springcrocus,grim,shadowgrey,,1,Slow Cooldown ,6
0.003,990912,eclipse,selkirk,ganado,wowza,bloodred,egyptiankohl,gerbil,cinderella,,0,Brisk Cooldown ,12
0.003,904746,coralsunrise,birman,spock,slyboots,icy,royalpurple,beard,hintomint,,0,Snappy Cooldown ,9
0.003,1391639,olive,selkirk,totesbasic,wiley,icy,butterscotch,satiated,cinderella,flapflap,0,Plodding Cooldown ,5
0.003,1385519,mintgreen,chantilly,rascal,asif,purplehaze,butterscotch,satiated,cottoncandy,flapflap,1,Plodding Cooldown ,13
0.003,1389930,mintgreen,ragdoll,mittens,asif,kalahari,butterscotch,whixtensions,salmon,flapflap,1,Plodding Cooldown ,17
0.003,714586,eclipse,birman,tiger,chronic,purplehaze,lemonade,gerbil,mauveover,,2,Brisk Cooldown ,5
0.005,287461,topaz,cymric,totesbasic,simple,peach,chocolate,pouty,salmon,,0,Swift Cooldown ,4
0.004,1116244,thundergrey,bobtail,spangled,wonky,flamingo,coffee,grim,oldlace,,0,Plodding Cooldown ,16
0.0045,1332083,doridnudibranch,selkirk,totesbasic,asif,sully,lemonade,tongue,dragonfruit,,0,Snappy Cooldown ,9
0.003,1048720,olive,norwegianforest,totesbasic,slyboots,purplehaze,coffee,rollercoaster,cottoncandy,,1,Snappy Cooldown ,4
0.003,1334945,thundergrey,chartreux,spock,asif,granitegrey,coffee,beard,koala,,1,Swift Cooldown ,5
0.004,1340242,chestnut,selkirk,amur,asif,belleblue,coffee,pouty,koala,,1,Snappy Cooldown ,6
0.005,267066,gold,ragamuffin,luckystripe,googly,kittencream,coffee,happygokitty,cottoncandy,,1,Snappy Cooldown ,4
0.003,1345446,mintgreen,ragdoll,amur,wiley,kalahari,skyblue,soserious,koala,,0,Snappy Cooldown ,7
0.0041,1000103,thundergrey,sphynx,spangled,wiley,purplehaze,barkbrown,wuvme,oldlace,,0,Swift Cooldown ,3
0.0048,1229140,doridnudibranch,koladiviya,spock,asif,atlantis,swampgreen,confuzzled,brownies,,0,Swift Cooldown ,2
0.0047,1396162,mintgreen,ragdoll,spangled,wonky,icy,coffee,fangtastic,bananacream,,0,Snappy Cooldown ,6
0.005,352503,mintgreen,munchkin,totesbasic,thicccbrowz,emeraldgreen,barkbrown,gerbil,mauveover,,0,Sluggish Cooldown ,20
0.005,403023,gold,ragamuffin,spock,thicccbrowz,kittencream,scarlet,saycheese,orangesoda,,0,Snappy Cooldown ,7
0.004,852409,coralsunrise,selkirk,thunderstruck,chronic,frosting,egyptiankohl,belch,cottoncandy,,0,Snappy Cooldown ,9
0.005,403382,limegreen,cymric,luckystripe,raisedbrow,granitegrey,swampgreen,saycheese,mauveover,,0,Brisk Cooldown ,11
0.0041,1355140,forgetmenot,selkirk,spock,wiley,azaleablush,coffee,whixtensions,glacier,,1,Swift Cooldown ,2
0.005,80249,sizzurp,sphynx,totesbasic,thicccbrowz,granitegrey,barkbrown,pouty,greymatter,,2,Plodding Cooldown ,6
0.005,119890,strawberry,cymric,spock,raisedbrow,kittencream,royalpurple,soserious,salmon,,0,Slow Cooldown ,5
0.005,155229,topaz,ragamuffin,totesbasic,simple,kittencream,royalpurple,saycheese,aquamarine,,0,Brisk Cooldown ,8
0.005,345537,sizzurp,himalayan,totesbasic,raisedbrow,kittencream,skyblue,pouty,mauveover,,1,Plodding Cooldown ,13
0.005,149874,chestnut,ragamuffin,luckystripe,crazy,kittencream,coffee,pouty,greymatter,,1,Brisk Cooldown ,10
0.003,1319230,cyan,selkirk,rascal,serpent,kalahari,padparadscha,confuzzled,cottoncandy,,0,Snappy Cooldown ,6
0.0035,1339174,chestnut,chantilly,totesbasic,simple,sully,egyptiankohl,saycheese,koala,,0,Snappy Cooldown ,9
0.005,181413,gold,cymric,luckystripe,thicccbrowz,granitegrey,barkbrown,whixtensions,salmon,,0,Plodding Cooldown ,12
0.005,157009,bubblegum,sphynx,totesbasic,raisedbrow,granitegrey,lemonade,happygokitty,greymatter,,1,Slow Cooldown ,4
0.0039,1166713,gemini,birman,spangled,simple,sandalwood,scarlet,soserious,orangesoda,,0,Plodding Cooldown ,6
0.0044,967169,sapphire,birman,tiger,thicccbrowz,cashewmilk,coffee,pouty,cinderella,,0,Swift Cooldown ,2
0.005,121037,chestnut,ragamuffin,totesbasic,otaku,granitegrey,scarlet,happygokitty,salmon,,0,Catatonic Cooldown ,18
