Price,ID,Eye Colour,Fur,Pattern,Eye Shape,Accent Color,Highlight Color,Mouth,Base Color,Wild Element,Likes,Cooldown,gen
0.003,1388633,coralsunrise,munchkin,amur,asif,granitegrey,butterscotch,wasntme,orangesoda,flapflap,0,Plodding Cooldown ,14
0.003,688281,sapphire,pixiebob,totesbasic,fabulous,azaleablush,springcrocus,grim,shadowgrey,,1,Slow Cooldown ,6
0.003,990912,eclipse,selkirk,ganado,wowza,bloodred,egyptiankohl,gerbil,cinderella,,0,Brisk Cooldown ,12
0.003,904746,coralsunrise,birman,spock,slyboots,icy,royalpurple,beard,hintomint,,0,Snappy Cooldown ,9
0.003,1391639,olive,selkirk,totesbasic,wiley,icy,butterscotch,satiated,cinderella,flapflap,0,Plodding Cooldown ,5
0.003,1385519,mintgreen,chantilly,rascal,asif,purplehaze,butterscotch,satiated,cottoncandy,flapflap,1,Plodding Cooldown ,13
0.003,1389930,mintgreen,ragdoll,mittens,asif,kalahari,butterscotch,whixtensions,salmon,flapflap,1,Plodding Cooldown ,17
0.003,714586,eclipse,birman,tiger,chronic,purplehaze,lemonade,gerbil,mauveover,,2,Brisk Cooldown ,5
0.003,1048720,olive,norwegianforest,totesbasic,slyboots,purplehaze,coffee,rollercoaster,cottoncandy,,1,Snappy Cooldown ,4
0.003,1334945,thundergrey,chartreux,spock,asif,granitegrey,coffee,beard,koala,,1,Swift Cooldown ,5
0.003,1345446,mintgreen,ragdoll,amur,wiley,kalahari,skyblue,soserious,koala,,0,Snappy Cooldown ,7
0.003,1319230,cyan,selkirk,rascal,serpent,kalahari,padparadscha,confuzzled,cottoncandy,,0,Snappy Cooldown ,6
0.003,1026502,coralsunrise,koladiviya,camo,sweetmeloncakes,frosting,lemonade,pouty,cottoncandy,,0,Brisk Cooldown ,11
0.003,1249477,doridnudibranch,toyger,mittens,asif,atlantis,peppermint,gerbil,cottoncandy,,0,Sluggish Cooldown ,4
0.003,1057999,cyan,birman,totesbasic,thicccbrowz,purplehaze,egyptiankohl,grimace,bananacream,,0,Plodding Cooldown ,12
0.003,515974,strawberry,ragdoll,hotrod,slyboots,emeraldgreen,royalpurple,soserious,orangesoda,,1,Brisk Cooldown ,11
0.003,1365736,strawberry,munchkin,totesbasic,thicccbrowz,granitegrey,scarlet,whixtensions,mauveover,,0,Swift Cooldown ,4
0.003,1348648,mintgreen,selkirk,arcreactor,caffeine,purplehaze,swampgreen,wuvme,koala,,0,Snappy Cooldown ,9
0.003,904743,parakeet,birman,tiger,wonky,shale,swampgreen,happygokitty,brownies,,0,Brisk Cooldown ,12
0.003,1367036,limegreen,birman,razzledazzle,wiley,azaleablush,poisonberry,soserious,oldlace,,0,Snappy Cooldown ,6
0.003,1386133,olive,selkirk,rorschach,thicccbrowz,purplehaze,butterscotch,satiated,bananacream,,1,Snappy Cooldown ,6
0.003,1334681,mintgreen,selkirk,arcreactor,wiley,azaleablush,lilac,pouty,bananacream,,2,Plodding Cooldown ,14
0.003,522207,strawberry,ragdoll,totesbasic,crazy,granitegrey,coffee,wuvme,salmon,,1,Snappy Cooldown ,7
0.003,1003243,cyan,himalayan,totesbasic,slyboots,belleblue,lemonade,grim,aquamarine,,1,Snappy Cooldown ,8
0.003,715443,gold,ragamuffin,spangled,simple,azaleablush,lemonade,whixtensions,shadowgrey,,1,Snappy Cooldown ,5
0.003,1335787,mintgreen,selkirk,tiger,thicccbrowz,sandalwood,lemonade,beard,koala,,1,Brisk Cooldown ,11
0.003,684866,limegreen,ragdoll,camo,thicccbrowz,sandalwood,springcrocus,grim,cloudwhite,,1,Swift Cooldown ,4
0.003,1340091,sapphire,sphynx,arcreactor,wiley,frosting,swampgreen,moue,koala,,1,Plodding Cooldown ,14
0.003,1329949,thundergrey,savannah,leopard,sass,patrickstarfish,coffee,saycheese,bananacream,,0,Brisk Cooldown ,10
0.003,1198254,doridnudibranch,bobtail,tiger,caffeine,sandalwood,scarlet,wuvme,cinderella,,0,Sluggish Cooldown ,4
0.003,1274978,doridnudibranch,koladiviya,spock,swarley,granitegrey,royalpurple,grim,martian,,0,Snappy Cooldown ,6
0.003,1336677,thundergrey,selkirk,arcreactor,thicccbrowz,emeraldgreen,scarlet,wasntme,koala,,0,Plodding Cooldown ,11
0.003,1368487,cyan,sphynx,leopard,asif,peach,royalpurple,wuvme,brownies,,0,Snappy Cooldown ,8
0.003,1365700,doridnudibranch,highlander,razzledazzle,buzzed,patrickstarfish,royalpurple,rollercoaster,bananacream,,1,Plodding Cooldown ,14
0.003,1330204,olive,selkirk,totesbasic,thicccbrowz,frosting,coffee,pouty,bananacream,,1,Brisk Cooldown ,10
0.003,1343225,mintgreen,selkirk,arcreactor,swarley,sully,lilac,wasntme,cinderella,,0,Slow Cooldown ,5
